Song Title,Primary Artist,Album/Single/EP,Apple Music URL,Artwork,Country-Restricted (Check if unavailable in certain countries)
"Neue Liebeslieder Waltzer, Op. 65: No. 9 (Orchestral Version)",Gewandhausorchester Leipzig & Riccardo Chailly,Brahms: The Symphonies,https://geo.music.apple.com/ca/album/neue-liebeslieder-waltzer-op-65-no-9-orchestral-version/1452265782?i=1452265954&app=music&at=11lt62&ct=tracklink,,
"Symphony No. 1 in C Minor, Op. 68: 1. Andante (Original First Performance Version)",Gewandhausorchester Leipzig & Riccardo Chailly,Brahms: The Symphonies,https://geo.music.apple.com/ca/album/symphony-no-1-in-c-minor-op-68-1-andante-original-first/1452265782?i=1452265958&app=music&at=11lt62&ct=tracklink,,
"Symphony No. 1 in C Minor, Op. 68: 2. Andante sostenuto",Gewandhausorchester Leipzig & Riccardo Chailly,Brahms: The Symphonies,https://geo.music.apple.com/ca/album/symphony-no-1-in-c-minor-op-68-2-andante-sostenuto/1452265782?i=1452266025&app=music&at=11lt62&ct=tracklink,,
"Symphony No. 2 in D Major, Op. 73: 1. Allegro non troppo",Gewandhausorchester Leipzig & Riccardo Chailly,Brahms: The Symphonies,https://geo.music.apple.com/ca/album/symphony-no-2-in-d-major-op-73-1-allegro-non-troppo/1452265782?i=1452266296&app=music&at=11lt62&ct=tracklink,,
"Symphony No. 2 in D Major, Op. 73: 3. Allegretto grazioso ( Quasi andantino) - Presto ma non assai",Gewandhausorchester Leipzig & Riccardo Chailly,Brahms: The Symphonies,https://geo.music.apple.com/ca/album/symphony-no-2-in-d-major-op-73-3-allegretto-grazioso/1452265782?i=1452266368&app=music&at=11lt62&ct=tracklink,,
"Symphony No. 2 in D Major, Op. 73: 4. Allegro con spirito",Gewandhausorchester Leipzig & Riccardo Chailly,Brahms: The Symphonies,https://geo.music.apple.com/ca/album/symphony-no-2-in-d-major-op-73-4-allegro-con-spirito/1452265782?i=1452266373&app=music&at=11lt62&ct=tracklink,,
"Symphony No. 3 in F Major, Op. 90: 3. Poco allegretto",Gewandhausorchester Leipzig & Riccardo Chailly,Brahms: The Symphonies,https://geo.music.apple.com/ca/album/symphony-no-3-in-f-major-op-90-3-poco-allegretto/1452265782?i=1452266147&app=music&at=11lt62&ct=tracklink,,
"Symphony No. 4 in E Minor, Op. 98: 1. Allegro non troppo",Gewandhausorchester Leipzig & Riccardo Chailly,Brahms: The Symphonies,https://geo.music.apple.com/ca/album/symphony-no-4-in-e-minor-op-98-1-allegro-non-troppo/1452265782?i=1452266532&app=music&at=11lt62&ct=tracklink,,
"Symphony No. 4 in E Minor, Op. 98: 1. Alternative opening",Gewandhausorchester Leipzig & Riccardo Chailly,Brahms: The Symphonies,https://geo.music.apple.com/ca/album/symphony-no-4-in-e-minor-op-98-1-alternative-opening/1452265782?i=1452266391&app=music&at=11lt62&ct=tracklink,,
"Symphony No. 4 in E Minor, Op. 98: 3. Allegro giocoso - Poco meno presto - Tempo I",Gewandhausorchester Leipzig & Riccardo Chailly,Brahms: The Symphonies,https://geo.music.apple.com/ca/album/symphony-no-4-in-e-minor-op-98-3-allegro-giocoso-poco/1452265782?i=1452266518&app=music&at=11lt62&ct=tracklink,,
"Symphony No. 4 in E Minor, Op. 98: 4. Allegro energico e passionato - Più allegro",Gewandhausorchester Leipzig & Riccardo Chailly,Brahms: The Symphonies,https://geo.music.apple.com/ca/album/symphony-no-4-in-e-minor-op-98-4-allegro-energico-e/1452265782?i=1452266525&app=music&at=11lt62&ct=tracklink,,
"Tragic Overture, Op. 81",Gewandhausorchester Leipzig & Riccardo Chailly,Brahms: The Symphonies,https://geo.music.apple.com/ca/album/tragic-overture-op-81/1452265782?i=1452265790&app=music&at=11lt62&ct=tracklink,,
"Variations On A Theme By Haydn, Op. 56a: Variation VII. Grazioso",Gewandhausorchester Leipzig & Riccardo Chailly,Brahms: The Symphonies,https://geo.music.apple.com/ca/album/variations-on-a-theme-by-haydn-op-56a-variation-vii-grazioso/1452265782?i=1452266737&app=music&at=11lt62&ct=tracklink,,
Your Love (Déjà Vu),Glass Animals,Your Love (Déjà Vu) - Single,https://geo.music.apple.com/ca/album/your-love-d%C3%A9j%C3%A0-vu/1497928633?i=1497928638&app=music&at=11lt62&ct=tracklink,,
((home movie: 1994)),Glass Animals,Dreamland,https://geo.music.apple.com/ca/album/home-movie-1994/1508562310?i=1508562314&app=music&at=11lt62&ct=tracklink,2021-07-11 00.04.12.jpg (https://dl.airtable.com/.attachments/535e0a34c5114c12bb114700b187b9f2/10c0230b/2021-07-1100.04.12.jpg),
((home movie: btx)),Glass Animals,Dreamland,https://geo.music.apple.com/ca/album/home-movie-btx/1508562310?i=1508562319&app=music&at=11lt62&ct=tracklink,2021-07-11 00.04.17.jpg (https://dl.airtable.com/.attachments/93ff3249b10cf9ce865eb8d9f4497317/3bc8c01f/2021-07-1100.04.17.jpg),
((home movie: rockets)),Glass Animals,Dreamland,https://geo.music.apple.com/ca/album/home-movie-rockets/1508562310?i=1508562333&app=music&at=11lt62&ct=tracklink,2021-07-11 00.04.21.jpg (https://dl.airtable.com/.attachments/20d28a59aa2279048bd378cf4a11f1aa/623cd6bb/2021-07-1100.04.21.jpg),
((home movie: shoes on)),Glass Animals,Dreamland,https://geo.music.apple.com/ca/album/home-movie-shoes-on/1508562310?i=1508562517&app=music&at=11lt62&ct=tracklink,2021-07-11 00.04.25.jpg (https://dl.airtable.com/.attachments/79e5921c140317a8fc47a3785e8c6c05/2665d687/2021-07-1100.04.25.jpg),
Domestic Bliss,Glass Animals,Dreamland,https://geo.music.apple.com/ca/album/domestic-bliss/1508562310?i=1508562335&app=music&at=11lt62&ct=tracklink,2021-07-11 00.04.29.jpg (https://dl.airtable.com/.attachments/23093b790df2c513628a81bda0277f79/87ff35d3/2021-07-1100.04.29.jpg),
Dreamland,Glass Animals,Dreamland,https://geo.music.apple.com/ca/album/dreamland/1508562310?i=1508562312&app=music&at=11lt62&ct=tracklink,2021-07-11 00.04.33.jpg (https://dl.airtable.com/.attachments/de258a57e417cec336613d022efd1044/e426931b/2021-07-1100.04.33.jpg),
Heat Waves,Glass Animals,Dreamland,https://geo.music.apple.com/ca/album/heat-waves/1508562310?i=1508562516&app=music&at=11lt62&ct=tracklink,2021-07-11 00.04.37.jpg (https://dl.airtable.com/.attachments/cce919cae2578800b0644f3ace8f89c8/93ed13f4/2021-07-1100.04.37.jpg),
Helium,Glass Animals,Dreamland,https://geo.music.apple.com/ca/album/helium/1508562310?i=1508562520&app=music&at=11lt62&ct=tracklink,2021-07-11 00.04.47.jpg (https://dl.airtable.com/.attachments/8bfc409f11f300ba9c3323bdc2f99608/c16ca1c1/2021-07-1100.04.47.jpg),
Hot Sugar,Glass Animals,Dreamland,https://geo.music.apple.com/ca/album/hot-sugar/1508562310?i=1508562317&app=music&at=11lt62&ct=tracklink,2021-07-11 00.04.52.jpg (https://dl.airtable.com/.attachments/9e8682e2f1149cca9c45254133e9ac71/2491b509/2021-07-1100.04.52.jpg),
